155	59.5	113
156	57.8	108
157	57.9	114
158	57.3	102
159	56.9	118
160	56.8	125
161	55.8	110
162	55.1	117
163	54.8	105
164	54.5	114
165	54.6	113
166	53.4	109
167	53.6	110
168	53.8	120
169	54	124
170	52.3	104
171	52.1	113
172	52.3	118
173	51.8	108
174	51.3	120
175	50.4	106
176	49.6	112
177	50.4	117
178	58.6	125
179	59.4	143
180	56.5	138
181	54.7	129
182	53.1	133
183	53.2	141
184	52.4	130
185	52.4	137
186	50.3	128
187	50.9	132
188	49.4	130
189	47.7	131
190	48.5	135
191	47.3	139
192	45.9	134
193	45	137
194	44.4	131
195	43.1	132
196	50.9	142
197	49.2	143
198	46.9	143
199	44	146
200	46.9	152
201	58.5	159
202	56.3	161
203	56.2	163
204	55.6	156
205	53	159
206	55.2	166
207	52.1	23.7
208	52.3	29.8
209	50.6	26.1
210	50.4	30.5
211	50	32.9
212	49.8	24
213	46.5	30.6
214	45	34
215	51.6	45.5
216	49.9	36.3
217	46.2	45.4
218	46.3	48
219	45.1	42
220	51.8	68.4
221	51.3	51.3
222	51.2	71.4
223	50.3	57.2
224	49.8	73.1
225	49.1	51.9
226	49.1	54.7
227	48.3	69.7
228	47.1	51.9
229	46.8	61.7
230	46.8	75.1
231	45.8	62.1
232	45.5	56.1
233	50.4	80.3
234	44.2	80.1
235	43.2	76.9
236	42.8	47.6
237	40.7	46.3
238	40.1	44.5
239	44.6	50.3
240	43.3	68.2
241	43	59.8	
242	42.9	74.5	
243	41.7	64.6	
244	41.3	69.3	
245	40	53	
246	39.1	63.6	
247	37.5	53.9	
248	39	56.2	
249	38	58.3	
250	36.3	59.6	
251	35.7	51.4	
252	32.6	51.7	
253	30.3	57	
254	26.6	52.6	
255	48	91.7	
256	49.6	100.2	
257	48.8	103.6
258	48.9	106.1
259	48.1	114.5
260	47.8	96.9
261	46.4	96.3
262	47.5	101.5
263	47.6	100.1
264	46.6	102.8
265	46.3	102.8
266	47.3	107.5
267	46.5	108.2
268	47.3	110.7
269	45.8	106.3
270	44.9	110.1
271	43.7	111.9
272	43.6	104.4
273	37.8	128.9
274	37.6	127
275	37.5	130.9
276	36	129.4
277	34.8	126.4
278	34.7	127.7
279	33.5	126.5
280	45.4	141.7
281	44	144.3
282	43.1	141.3
283	43.3	145.6
284	42.2	142.8
285	41.8	140.8
286	39.7	140.1
287	38.3	140.9
288	37.4	136.9
289	38	138.3
290	37.9	139.1
291	36.6	136.7
292	36.4	139.1
293	35.2	137
294	35.7	140.9
295	34.6	138.2
296	35.7	139.8
297	33.1	139.8
298	34.7	135.5
299	33.5	135.8
300	34.2	129.3
301	33.6	130.4
302	33.2	131.6
303	32.7	129.9
304	31.6	130.6
305	31.9	131.4	
306	28.4	129.5	
307	24.3	124.2	
308	24.8	125.3	
309	26.2	127.7	
310	25.8	131.2	
311	47.4	123.9	
312	49.2	119.8	
313	37.1	79.9	
314	39	88.2	
315	39.5	76	
316	43.8	87.6	
317	44	81.3	
318	47.7	88.1	
319	36.3	98.1	
320	39.8	98.5	
321	42.8	93.5	
322	37.8	112.6	
323	38.5	106.2	
324	43.7	112	
325	36.1	120.3	
326	39.9	116.3	
327	41.7	123.5	
328	42.9	129.5	
329	29.7	91.1	
330	23.4	103.4	
331	25	102.7	
332	25	98.5	
333	27.9	102.3	
334	31.2	97.2	
335	25.9	115	
336	27.5	109.7	
337	30.7	111.3	
338	34.7	113.7	
339	28.6	115.9	
340	20	110.4	
341	22.8	108.4	
342	23.4	116.7	
343	23.1	113.3	
